Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
28.0;28.0;4;1.0;1.0;2.0;95.0;;;;80.0;2;10;131;87.0;9.0;9.0;9.0;28;2153;1;0
1.0;1.0;1;1.5;1.0;1.0;26.0;;;;;1;0;363;;;;;1;175;0;1
3.0;3.0;5;3.0;2.0;4.0;140.0;;;250.0;40.0;4;10;298;99.0;10.0;10.0;10.0;3;1498;1;0
2.0;2.0;3;1.0;1.0;2.0;75.0;;;;7.0;1;0;282;93.0;10.0;10.0;10.0;2;783;1;0
3.0;3.0;5;1.0;3.0;3.0;70.0;515.0;1900.0;100.0;15.0;1;10;231;90.0;9.0;9.0;10.0;3;1857;1;0
1.0;1.0;2;1.0;1.0;1.0;51.0;;;150.0;20.0;2;12;308;90.0;9.0;8.0;10.0;1;198;1;0
3.0;3.0;2;2.0;1.0;1.0;35.0;;;;15.0;1;15;354;100.0;10.0;10.0;10.0;3;846;0;1
3.0;3.0;5;1.0;2.0;3.0;75.0;;;;25.0;1;0;328;100.0;10.0;9.0;10.0;3;384;1;0
164.0;164.0;8;2.0;2.0;6.0;85.0;;;200.0;60.0;2;10;331;100.0;10.0;10.0;10.0;145;932;1;0
2.0;2.0;1;1.0;1.0;1.0;15.0;;;;;1;0;343;77.0;8.0;7.0;8.0;2;207;0;0
2.0;2.0;2;1.0;1.0;1.0;42.0;;;;;1;0;125;80.0;10.0;8.0;10.0;2;593;0;1
4.0;4.0;5;1.0;2.0;4.0;95.0;576.0;1902.0;100.0;30.0;2;15;292;96.0;10.0;10.0;10.0;4;1453;1;0
15.0;15.0;6;1.0;2.0;4.0;100.0;;;;;1;0;345;80.0;9.0;7.0;9.0;15;441;1;0
2.0;2.0;4;1.0;1.0;1.0;55.0;;;150.0;35.0;1;0;159;80.0;9.0;10.0;10.0;2;750;1;0
2.0;2.0;4;2.0;2.0;3.0;150.0;;;400.0;40.0;1;0;271;99.0;10.0;10.0;10.0;2;1077;1;0
1.0;1.0;2;1.0;1.0;1.0;21.0;300.0;750.0;100.0;;1;12;317;93.0;10.0;9.0;9.0;1;1052;0;1
1.0;1.0;2;1.0;1.0;2.0;40.0;500.0;;;10.0;2;15;0;;;;;1;1335;0;1
46.0;46.0;4;1.0;1.0;1.0;55.0;;;150.0;80.0;1;5;357;;;;;44;933;1;0
